TIME,LABEL
4.734000000,1.1
5.569916667,1.2
6.312958333,1.3
7.056000000,1.4
7.799041667,2.1
8.542083333,2.2
9.378000000,2.3
10.028166667,2.4
10.864083333,3.1
11.607125000,3.2
12.350145833,3.3
13.000312500,3.4
13.650479167,4.1
14.393500000,4.2
15.136541667,4.3
15.786708333,4.4
16.529750000,5.1
17.179895833,5.2
17.922937500,5.3
18.665979167,5.4
19.409020833,6.1
20.059187500,6.2
20.895104167,6.3
21.545250000,6.4
22.288291667,7.1
23.031333333,7.2
23.774375000,7.3
24.517416667,7.4
25.260458333,8.1
25.910604167,8.2
26.653645833,8.3
27.396687500,8.4
28.139729167,9.1
28.882770833,9.2
29.532916667,9.3
30.368833333,9.4
31.019000000,10.1
31.854916667,10.2
32.597958333,10.3
33.248104167,10.4
34.084020833,11.1
34.919958333,11.2
35.662979167,11.3
36.406020833,11.4
37.056187500,12.1
37.799229167,12.2
38.542270833,12.3
39.192416667,12.4
39.935458333,13.1
40.678500000,13.2
41.328666667,13.3
42.071687500,13.4
42.721854167,14.1
43.372020833,14.2
44.022166667,14.3
44.765208333,14.4
45.415375000,15.1
46.158416667,15.2
46.808562500,15.3
